seq_length,train_auc,test_auc
10,0.8697416659561771,0.8149430184258174
20,0.8697645937754784,0.811862039325239
30,0.8695241763924026,0.818557268722467
40,0.8481265753677188,0.8065062690613352
50,0.858206802226805,0.8181080454440064
60,0.8705069701687514,0.8215859030837004
70,0.8722454793883364,0.8175975975975975
80,0.8673240616187331,0.822688159011029
90,0.861857026217908,0.8213281154457626
100,0.8684400674391843,0.8149450820683699
110,0.8647404509166117,0.8204633204633205
120,0.8662626787626788,0.8241357636706473
130,0.8612525957371895,0.8277429266419153
